,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
34,No,Rarely,556.26,Unknown,6,4,Other,35,1,Female,,3,2,Research Scientist,3,Single,4492.84,11681.39,1,Unknown,14,3.0,3,Unknown,0,16.0,3,3.0,16,2,10,1989,,Yes
35,No,Rarely,1032.49,Unknown,1,2,Unknown,36,2,Female,,3,3,Sales Executive,1,Divorced,8339.32,21682.23,1,No,25,4.0,3,Part Time,3,24.0,2,3.0,24,15,7,1977,100071.84,Yes
36,No,Unknown,1657.4,Unknown,16,3,Unknown,37,4,Female,207.1746031746032,3,4,Manager,4,Married,,34805.33,5,Unknown,22,4.0,3,Full Time,1,22.0,3,3.0,17,1,9,1980,160640.0,Yes
37,No,Unknown,331.19,Research & Development,6,3,Life Sciences,38,4,Male,,3,1,Laboratory Technician,4,Married,2675.0,6955.0,0,Unknown,11,3.0,3,Full Time,1,16.0,4,3.0,15,10,11,1987,32100.0,Yes
38,No,Frequently,1059.19,Unknown,28,3,Unknown,39,3,Female,,2,3,Sales Executive,1,Married,8555.0,22243.0,4,No,19,3.0,4,Full Time,0,22.0,5,4.0,18,13,11,1963,102660.0,Yes
39,No,Frequently,1080.75,Unknown,5,4,Unknown,40,4,Male,,2,3,Sales Executive,1,Married,8729.17,22695.83,5,Yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,1,12,1983,104750.0,No
40,No,Rarely,635.76,Unknown,4,3,Unknown,41,3,Female,,2,2,Manufacturing Director,3,Married,,13351.0,1,No,12,3.0,3,Full Time,1,14.0,3,3.0,14,6,8,1991,61620.0,No
41,No,Rarely,487.09,Unknown,35,3,Unknown,42,35,Male,60.8859126984127,3,1,Laboratory Technician,1,Single,3934.17,10228.83,2,Yes,13,3.0,3,Full Time,0,20.0,3,3.0,18,2,17,1982,47210.0,Yes
42,No,Unknown,1582.77,Unknown,2,2,Medical,43,3,Male,,3,4,Manager,3,Divorced,12783.92,33238.2,6,No,13,3.0,3,Full Time,1,22.0,3,4.0,17,15,2,1970,153407.07,No
43,Yes,Rarely,290.04,Unknown,16,4,Unknown,44,3,Female,36.25443871706758,4,1,Laboratory Technician,1,Single,,6090.75,1,Unknown,16,3.0,3,Part Time,0,18.0,1,3.0,17,15,14,1987,28111.13,Yes
44,No,Unknown,476.15,Unknown,8,4,Life Sciences,45,4,Female,,2,2,Research Scientist,1,Divorced,3845.83,9999.17,8,Yes,23,4.0,1,Part Time,3,,2,3.0,16,1,7,1977,46150.0,No
45,No,Rarely,556.26,Unknown,1,4,Unknown,46,4,Male,,3,2,Sales Executive,2,Married,4492.84,11681.39,0,No,15,3.0,1,Unknown,2,16.0,3,3.0,15,5,8,1985,53914.11,Yes
46,No,Unknown,1032.49,Unknown,1,4,Unknown,47,1,Female,,2,3,Healthcare Representative,1,Single,8339.32,21682.23,3,Unknown,20,4.0,3,Part Time,0,23.0,1,2.0,13,12,8,1972,100071.84,Yes
47,No,Unknown,1749.74,Unknown,26,2,Unknown,48,3,Male,,3,4,Manager,4,Married,14132.5,36744.5,1,Yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,4,12,1980,169590.0,Yes
48,No,Unknown,290.04,Unknown,1,3,Life Sciences,49,4,Female,,3,1,Research Scientist,4,Single,,6090.75,1,No,12,3.0,2,Part Time,0,,3,3.0,17,5,7,1986,28111.13,Yes
49,No,Rarely,556.26,Unknown,8,2,Technical Degree,50,3,Female,,2,2,Sales Executive,2,Married,,11681.39,1,Yes,11,3.0,4,Part Time,0,,2,3.0,13,11,9,1991,53914.11,Yes
50,No,Unknown,1032.49,Unknown,1,3,Unknown,51,4,Female,,3,3,Research Director,1,Married,8339.32,21682.23,1,Unknown,13,3.0,2,Part Time,1,15.0,3,3.0,15,5,11,1985,100071.84,No
51,No,Unknown,1582.77,Unknown,3,3,Life Sciences,52,3,Female,,3,4,Manager,2,Unknown,12783.92,33238.2,8,No,12,3.0,4,Full Time,1,23.0,2,4.0,13,5,1,1977,153407.07,Yes
52,Yes,Rarely,1063.32,Unknown,10,3,Medical,53,4,Male,,2,3,Sales Executive,1,Married,8588.33,22329.67,9,Unknown,17,3.0,3,Unknown,0,15.0,3,3.0,13,6,0,1988,,No
53,No,Unknown,1973.98,Unknown,6,3,Medical,54,1,Female,,2,5,Manager,3,Married,15943.72,41453.67,7,No,13,3.0,4,Unknown,0,21.0,2,3.0,16,6,14,1980,,Yes
54,No,No,556.26,Unknown,1,4,Life Sciences,55,3,Male,,3,2,Healthcare Representative,3,Divorced,4492.84,11681.39,1,No,21,3.0,1,Unknown,1,,2,2.0,13,1,9,1967,,Yes
55,No,No,557.76,Unknown,15,4,Marketing,56,4,Male,,1,2,Sales Executive,4,Divorced,4505.0,11713.0,1,No,24,4.0,1,Full Time,1,,4,2.0,15,11,11,1987,54060.0,Yes
56,No,Unknown,556.26,Unknown,6,3,Medical,57,2,Female,,1,2,Research Scientist,4,Unknown,,11681.39,7,Unknown,12,3.0,4,Part Time,3,17.0,3,3.0,13,1,9,1985,53914.11,Yes
57,No,Unknown,556.26,Unknown,26,4,Medical,58,3,Female,69.53208262471655,3,2,Manufacturing Director,1,Unknown,,11681.39,1,No,14,3.0,3,Part Time,0,16.0,2,2.0,15,5,11,1974,53914.11,No
58,No,Rarely,608.94,Unknown,4,4,Life Sciences,59,4,Female,,2,2,Sales Executive,3,Married,4918.33,12787.67,4,Unknown,14,3.0,3,Full Time,1,17.0,1,4.0,15,5,9,1984,59020.0,Yes
59,No,Unknown,1119.96,Unknown,4,4,Unknown,60,3,Male,139.9950396825397,2,3,Sales Executive,4,Married,,23519.17,7,No,11,3.0,1,Full Time,1,15.0,2,2.0,12,2,11,1983,108550.0,Yes
60,No,Unknown,610.17,Unknown,5,2,Unknown,61,4,Male,,3,2,Laboratory Technician,2,Single,4928.33,12813.67,8,No,16,3.0,4,Full Time,0,16.0,3,4.0,13,3,7,1987,59140.0,Yes
61,No,Unknown,556.26,Unknown,25,5,Unknown,62,2,Female,,3,2,Research Scientist,3,Married,,11681.39,3,Yes,15,3.0,1,Unknown,2,15.0,2,3.0,13,10,7,1986,53914.11,No
62,No,Unknown,685.7,Unknown,6,4,Unknown,63,2,Male,,1,2,Research Scientist,4,Unknown,5538.33,14399.67,1,Unknown,13,3.0,2,Full Time,0,,3,3.0,17,11,8,1988,66460.0,Yes
63,No,Frequently,556.26,Unknown,6,3,Life Sciences,64,3,Male,,3,2,Healthcare Representative,4,Divorced,4492.84,11681.39,3,No,23,4.0,3,Part Time,1,15.0,2,1.0,13,4,7,1990,53914.11,No
64,No,Rarely,1441.66,Research & Development,24,3,Unknown,65,4,Male,,3,4,Manufacturing Director,3,Married,,30274.83,3,Yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,1,5,1973,139730.0,No
65,No,Rarely,1032.49,Unknown,4,4,Unknown,66,3,Male,,2,3,Healthcare Representative,3,Single,,21682.23,7,Unknown,14,3.0,2,Part Time,0,27.0,3,3.0,15,4,8,1975,100071.84,Yes
66,No,Rarely,1374.29,Sales,28,3,Unknown,67,4,Female,,4,4,Sales Executive,4,Married,11100.0,28860.0,3,Unknown,18,3.0,3,Unknown,1,,2,3.0,12,11,11,1979,,Yes
67,No,Rarely,556.26,Unknown,29,4,Unknown,68,4,Male,69.53208262471655,3,2,Research Scientist,4,Single,,11681.39,1,Unknown,25,4.0,2,Part Time,0,,3,3.0,20,13,17,1979,53914.11,Yes
68,No,Unknown,556.26,Unknown,25,1,Unknown,69,25,Female,,4,2,Healthcare Representative,3,Unknown,,11681.39,5,No,20,4.0,2,Part Time,3,15.0,0,3.0,12,11,8,1983,53914.11,Yes
69,No,Rarely,689.93,Unknown,2,4,Unknown,70,3,Female,86.24107142857143,3,2,Healthcare Representative,4,Single,5572.5,14488.5,1,Unknown,11,3.0,4,Full Time,0,14.0,2,4.0,14,4,11,1989,66870.0,Yes
70,No,No,556.26,Research & Development,8,4,Unknown,71,3,Female,,3,2,Healthcare Representative,3,Unknown,4492.84,11681.39,1,Unknown,12,3.0,4,Part Time,1,,5,3.0,14,2,9,1988,53914.11,Yes
71,No,Unknown,1032.49,Unknown,17,5,Life Sciences,72,4,Female,,2,3,Research Director,1,Unknown,,21682.23,5,No,15,3.0,3,Part Time,3,,3,3.0,14,1,11,1973,100071.84,No
72,No,Unknown,1582.77,Unknown,6,1,Life Sciences,73,3,Female,197.8464183087028,2,4,Healthcare Representative,3,Unknown,12783.92,33238.2,2,Unknown,19,3.0,2,Full Time,1,,3,3.0,15,2,12,1974,153407.07,Yes
73,No,Frequently,488.53,Unknown,1,3,Life Sciences,74,4,Male,61.06646825396825,3,2,Research Scientist,4,Unknown,,10259.17,7,No,15,3.0,4,Part Time,2,19.0,4,3.0,13,2,9,1985,47350.0,Yes
74,No,Unknown,290.04,Unknown,21,3,Unknown,75,2,Male,,4,1,Laboratory Technician,2,Unknown,,6090.75,1,No,18,3.0,4,Part Time,3,14.0,6,3.0,14,2,13,1990,28111.13,Yes
75,No,Rarely,1032.49,Unknown,4,3,Life Sciences,76,3,Female,,2,3,Manufacturing Director,2,Divorced,8339.32,21682.23,8,Yes,12,3.0,3,Part Time,1,,4,3.0,22,14,10,1976,100071.84,Yes
76,No,Unknown,556.26,Research & Development,8,3,Unknown,77,4,Female,,2,2,Research Scientist,2,Divorced,4492.84,11681.39,1,Unknown,16,3.0,3,Unknown,1,20.0,3,3.0,20,0,7,1985,,No
77,No,Rarely,1032.49,Unknown,10,3,Life Sciences,78,3,Female,,4,3,Research Director,4,Unknown,8339.32,21682.23,1,Yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,6,8,1986,100071.84,Yes
78,No,Unknown,556.26,Unknown,2,3,Unknown,79,3,Male,,2,2,Healthcare Representative,4,Married,,11681.39,1,No,19,3.0,1,Part Time,3,11.0,3,3.0,11,10,8,1993,53914.11,Yes
79,No,Rarely,1431.24,Unknown,18,4,Unknown,80,4,Male,,3,4,Sales Executive,3,Single,11560.0,30056.0,0,Unknown,13,3.0,3,Full Time,0,38.0,1,2.0,37,1,8,1965,138720.0,Yes
80,No,Rarely,1032.49,Unknown,5,3,Unknown,81,3,Female,,2,3,Manager,1,Single,8339.32,21682.23,2,Unknown,12,3.0,4,Unknown,0,14.0,6,3.0,11,5,8,1989,,No
81,Yes,Rarely,1032.49,Unknown,23,4,Medical,82,4,Female,,3,3,Healthcare Representative,4,Married,8339.32,21682.23,1,Unknown,12,3.0,4,Part Time,1,40.0,3,2.0,40,15,6,1965,100071.84,Yes
82,No,Unknown,1032.49,Unknown,3,3,Life Sciences,83,1,Male,,3,3,Sales Executive,3,Divorced,8339.32,21682.23,0,Unknown,12,3.0,3,Unknown,2,,6,2.0,16,5,13,1985,,Yes
83,No,Frequently,1032.49,Unknown,1,1,Unknown,84,2,Female,,3,3,Sales Executive,4,Married,8339.32,21682.23,1,Unknown,14,3.0,4,Part Time,1,11.0,5,3.0,11,4,1,1994,100071.84,Yes
84,No,Rarely,1964.96,Unknown,1,3,Medical,85,4,Male,245.6200396825397,3,5,Manager,1,Single,15870.83,41264.17,0,Unknown,14,3.0,3,Full Time,0,37.0,2,3.0,36,4,13,1968,190450.0,Yes
85,No,Unknown,1652.34,Unknown,10,4,Unknown,86,4,Male,,3,4,Manager,2,Unknown,13345.83,34699.17,1,Unknown,19,3.0,2,Unknown,0,,2,3.0,22,0,4,1982,,Yes
86,No,Rarely,991.82,Research & Development,1,3,Unknown,87,3,Male,123.97718253968254,4,3,Healthcare Representative,4,Unknown,8010.83,20828.17,0,No,17,3.0,1,Part Time,3,19.0,5,2.0,18,3,7,1984,96130.0,No
87,No,Unknown,1187.54,Unknown,15,2,Life Sciences,88,3,Male,148.44246031746033,2,3,Research Director,4,Unknown,,24938.33,0,Unknown,14,3.0,2,Full Time,1,,3,3.0,11,2,9,1985,115100.0,Yes
88,No,Unknown,1582.77,Unknown,12,3,Unknown,89,1,Male,,2,4,Research Director,2,Unknown,12783.92,33238.2,1,No,11,3.0,3,Full Time,1,,3,3.0,25,3,9,1980,153407.07,Yes
89,No,Unknown,444.27,Unknown,30,2,Unknown,90,2,Female,,3,2,Manufacturing Director,1,Married,3588.33,9329.67,1,No,12,3.0,2,Unknown,1,13.0,5,1.0,13,3,12,1992,,Yes
90,No,Rarely,1758.71,Research & Development,27,4,Life Sciences,91,27,Male,,2,4,Manager,3,Married,14205.0,36933.0,0,No,15,3.0,2,Full Time,1,28.0,2,3.0,27,15,7,1973,170460.0,Yes
91,No,Unknown,1032.49,Unknown,25,3,Technical Degree,92,4,Male,129.06091077207583,2,3,Manufacturing Director,2,Married,8339.32,21682.23,3,No,16,3.0,1,Part Time,0,,2,3.0,13,4,8,1988,100071.84,No
92,No,Unknown,522.79,Unknown,16,4,Unknown,93,3,Male,,4,2,Manufacturing Director,3,Unknown,4222.5,10978.5,1,Yes,19,3.0,3,Unknown,0,20.0,3,3.0,19,2,7,1976,,Yes
93,No,Unknown,1032.49,Research & Development,25,4,Unknown,94,3,Female,129.06091077207583,3,3,Healthcare Representative,3,Divorced,8339.32,21682.23,1,Yes,11,3.0,3,Part Time,1,,3,2.0,16,10,1,1988,100071.84,Yes
94,No,Rarely,1032.49,Unknown,20,4,Unknown,95,1,Male,129.06091077207583,3,3,Healthcare Representative,4,Married,,21682.23,4,Unknown,20,4.0,4,Part Time,1,14.0,6,3.0,11,11,1,1983,100071.84,Yes
95,No,Unknown,556.26,Sales,9,4,Life Sciences,96,2,Female,,2,2,Sales Executive,3,Married,4492.84,11681.39,1,Unknown,13,3.0,4,Part Time,1,15.0,2,3.0,15,4,12,1978,53914.11,No
96,No,Unknown,290.04,Research & Development,9,3,Medical,97,1,Male,,3,1,Research Scientist,4,Married,,6090.75,0,Unknown,13,3.0,2,Unknown,1,15.0,5,3.0,14,4,10,1990,28111.13,No
97,No,Frequently,380.92,Unknown,3,3,Unknown,98,3,Male,,3,1,Research Scientist,2,Married,3076.67,7999.33,1,No,12,3.0,3,Full Time,0,12.0,2,2.0,11,0,7,1987,36920.0,No
98,Yes,Unknown,1973.98,Unknown,13,3,Marketing,99,1,Female,246.74801587301585,1,5,Manager,2,Unknown,15943.72,41453.67,2,Yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,1,11,1978,191324.62,Yes
99,No,Frequently,2047.71,Unknown,27,3,Unknown,100,27,Male,255.96329365079364,3,5,Manager,2,Unknown,,43001.83,4,Yes,24,3.0,1,Full Time,1,,5,2.0,29,11,10,1972,198470.0,No
100,No,Rarely,238.13,Unknown,7,2,Technical Degree,101,2,Male,,3,1,Sales Representative,3,Unknown,,5000.67,0,Yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,5,7,1989,23080.0,No
101,No,Rarely,1582.77,Research & Development,15,2,Unknown,102,3,Male,,2,4,Research Director,3,Unknown,,33238.2,1,No,24,4.0,1,Full Time,1,,3,3.0,14,6,11,1980,153407.07,Yes
102,No,Unknown,556.26,Unknown,5,2,Medical,103,2,Male,,2,2,Laboratory Technician,4,Unknown,4492.84,11681.39,1,No,14,3.0,3,Part Time,1,,3,3.0,15,4,13,1989,53914.11,No
103,No,Unknown,290.04,Unknown,2,3,Unknown,104,1,Male,,3,1,Human Resources,2,Divorced,2342.59,6090.75,5,No,13,3.0,4,Part Time,3,13.0,3,3.0,11,3,8,1985,28111.13,Yes
104,No,Unknown,1973.98,Unknown,10,3,Unknown,105,4,Male,,2,5,Research Director,2,Unknown,,41453.67,4,No,12,3.0,4,Full Time,0,29.0,3,3.0,22,12,9,1975,191324.62,No
105,No,Unknown,592.94,Research & Development,22,4,Other,106,3,Male,,2,2,Research Scientist,4,Married,4789.17,12451.83,1,Yes,15,3.0,2,Full Time,0,16.0,3,3.0,15,6,11,1989,57470.0,No
106,No,Rarely,1075.29,Unknown,31,4,Unknown,107,31,Female,134.41071428571428,3,3,Sales Executive,4,Unknown,8685.0,22581.0,1,No,19,3.0,3,Full Time,2,14.0,3,3.0,14,5,7,1991,104220.0,Yes
107,No,Rarely,1032.49,Unknown,21,4,Life Sciences,108,2,Female,,4,3,Manufacturing Director,1,Divorced,8339.32,21682.23,1,No,11,3.0,3,Unknown,1,10.0,1,3.0,10,8,8,1994,,No
108,No,Unknown,1032.49,Unknown,1,3,Medical,109,3,Male,,2,3,Healthcare Representative,1,Married,,21682.23,2,Yes,13,3.0,3,Unknown,1,21.0,5,2.0,10,9,5,1977,100071.84,No
109,No,Unknown,654.85,Human Resources,9,3,Unknown,110,3,Male,,3,2,Human Resources,4,Married,5289.17,13751.83,0,Yes,19,3.0,4,Full Time,0,,2,1.0,11,4,7,1993,63470.0,No
110,No,Unknown,242.25,Unknown,9,3,Life Sciences,111,2,Male,,3,2,Laboratory Technician,2,Unknown,1956.67,5087.33,8,No,18,3.0,3,Part Time,1,20.0,2,3.0,17,0,15,1978,23480.0,Yes
111,No,Rarely,1032.49,Unknown,5,3,Unknown,112,2,Female,129.06091077207583,3,3,Sales Executive,4,Unknown,8339.32,21682.23,2,No,12,3.0,3,Part Time,1,,2,3.0,10,7,4,1993,100071.84,Yes
112,No,Unknown,316.95,Unknown,9,3,Unknown,113,3,Male,,3,2,Laboratory Technician,1,Unknown,,6656.0,1,No,11,3.0,3,Part Time,2,12.0,4,3.0,12,6,10,1993,30720.0,Yes
113,No,Frequently,556.26,Unknown,29,1,Unknown,114,4,Male,,2,2,Manufacturing Director,3,Married,4492.84,11681.39,1,Unknown,17,3.0,3,Unknown,0,10.0,2,2.0,10,1,9,1989,,No
114,No,Rarely,1288.65,Unknown,8,4,Life Sciences,115,2,Male,,2,3,Research Director,2,Married,10408.33,27061.67,5,No,16,3.0,4,Full Time,2,16.0,5,1.0,10,4,7,1972,124900.0,No
115,No,Unknown,556.26,Unknown,39,4,Life Sciences,116,39,Male,69.53208262471655,2,2,Manufacturing Director,1,Unknown,4492.84,11681.39,6,Unknown,13,3.0,2,Part Time,1,13.0,3,3.0,11,5,9,1989,53914.11,Yes
116,No,Rarely,827.46,Unknown,16,3,Unknown,117,3,Male,,3,3,Sales Executive,2,Married,6683.33,17376.67,0,Unknown,15,3.0,3,Part Time,2,12.0,3,2.0,11,6,9,1988,80200.0,Yes
117,No,Frequently,1032.49,Unknown,7,3,Life Sciences,118,1,Male,,3,3,Laboratory Technician,1,Unknown,8339.32,21682.23,1,Unknown,18,3.0,1,Part Time,1,24.0,2,3.0,24,9,11,1978,100071.84,Yes
118,No,Unknown,1760.98,Unknown,10,1,Unknown,119,3,Male,,3,4,Manager,1,Married,,36980.67,1,Unknown,14,3.0,4,Full Time,0,21.0,3,3.0,21,11,10,1984,170680.0,Yes
119,No,Unknown,922.69,Unknown,7,2,Unknown,120,3,Female,,2,3,Manufacturing Director,3,Married,7452.5,19376.5,1,No,24,4.0,1,Part Time,1,10.0,2,3.0,10,8,9,1992,89430.0,No
120,No,Unknown,1988.38,Research & Development,7,2,Unknown,121,3,Male,,2,5,Manager,4,Married,16060.0,41756.0,1,Unknown,15,3.0,1,Full Time,1,,2,3.0,21,13,3,1984,192720.0,Yes
121,No,Rarely,556.26,Unknown,8,4,Unknown,122,4,Male,69.53208262471655,3,2,Research Scientist,4,Unknown,4492.84,11681.39,9,No,14,3.0,1,Part Time,2,12.0,3,3.0,10,9,8,1978,53914.11,Yes
122,No,Rarely,556.26,Sales,5,3,Marketing,123,4,Female,,2,2,Sales Executive,3,Unknown,4492.84,11681.39,1,Unknown,13,3.0,3,Unknown,3,10.0,2,3.0,10,1,2,1993,,Yes
