OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
13400,03/05/2017,-16.5930,145.9435,Pacific Ocean,Coral Sea,Great Barrier Reef,0.693459,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13401,14/05/2017,-15.4860,145.6257,Pacific Ocean,Coral Sea,Great Barrier Reef,0.295497,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13402,23/05/2017,-16.9322,146.1940,Pacific Ocean,Coral Sea,Great Barrier Reef,0.350663,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13403,25/05/2017,-16.9278,145.9840,Pacific Ocean,Coral Sea,Great Barrier Reef,0.016931,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13404,28/06/2017,-16.1672,145.8268,Pacific Ocean,Coral Sea,Great Barrier Reef,0.003852,pieces/m3,0.0005-0.005,Low,Manta net,"Oceaneye Association,  Switzerland"
13405,03/07/2017,-10.7295,150.3883,Pacific Ocean,Coral Sea,Great Barrier Reef,0.009309,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13406,16/07/2017,-9.5727,152.7847,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.037082,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13409,16/08/2017,-9.2320,159.7077,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.044853,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13410,02/09/2017,-9.3533,159.9237,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.020419,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
21470,16/03/2020,-20.1968,148.9341,Pacific Ocean,Coral Sea,Great Barrier Reef,0.114059,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21471,17/03/2020,-20.2025,149.0102,Pacific Ocean,Coral Sea,Great Barrier Reef,0.08241,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21472,17/03/2020,-20.1745,148.9576,Pacific Ocean,Coral Sea,Great Barrier Reef,0.083135,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21473,17/03/2020,-20.1756,148.9078,Pacific Ocean,Coral Sea,Great Barrier Reef,0.044905,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21474,18/03/2020,-20.1519,148.9051,Pacific Ocean,Coral Sea,Great Barrier Reef,0.05612,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21475,19/03/2020,-20.2384,148.8917,Pacific Ocean,Coral Sea,Great Barrier Reef,0.07214,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21476,19/03/2020,-20.1416,148.8145,Pacific Ocean,Coral Sea,Great Barrier Reef,0.057093,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21477,19/03/2020,-20.1205,148.8760,Pacific Ocean,Coral Sea,Great Barrier Reef,0.118492,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21478,20/03/2020,-20.1026,148.8581,Pacific Ocean,Coral Sea,Great Barrier Reef,0.035978,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21479,20/03/2020,-20.2345,148.7407,Pacific Ocean,Coral Sea,Great Barrier Reef,0.067601,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21480,22/03/2020,-20.1709,148.8286,Pacific Ocean,Coral Sea,Great Barrier Reef,0.026423,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21481,22/03/2020,-20.2514,148.9329,Pacific Ocean,Coral Sea,Great Barrier Reef,0.02781,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21482,23/03/2020,-20.2765,148.9170,Pacific Ocean,Coral Sea,Great Barrier Reef,0.043204,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21483,23/03/2020,-20.2281,148.7833,Pacific Ocean,Coral Sea,Great Barrier Reef,0.034875,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21484,24/03/2020,-20.3456,148.8388,Pacific Ocean,Coral Sea,Great Barrier Reef,0.080216,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21485,24/03/2020,-20.3401,148.8416,Pacific Ocean,Coral Sea,Great Barrier Reef,0.010693,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
