Oceans,Regions,Latitude,Longitude
Atlantic Ocean,Gulf of Mexico,27.9504,-82.5461
Atlantic Ocean,Gulf of Mexico,30.3063,-89.3276
Atlantic Ocean,Gulf of Mexico,29.1252,-95.0622
Atlantic Ocean,Gulf of Mexico,28.997,-95.2273
Atlantic Ocean,Gulf of Mexico,29.3359,-94.7354
Atlantic Ocean,Gulf of Mexico,29.2808,-94.8002
Pacific Ocean,,29.98,-140.0
Pacific Ocean,,29.2323,-143.8742
Pacific Ocean,Gulf of California,26.729392,-111.906818
Atlantic Ocean,,26.42,-77.91
Atlantic Ocean,Gulf of Mexico,27.8516,-82.5545
Atlantic Ocean,Gulf of Mexico,27.9237,-82.4807
Atlantic Ocean,Caribbean Sea,15.28,-64.43
Atlantic Ocean,,15.65,-59.37
Atlantic Ocean,Caribbean Sea,12.73,-61.7
Pacific Ocean,,28.0315,-131.4227
Pacific Ocean,,25.35,-141.11
Pacific Ocean,,22.76,-141.69
Atlantic Ocean,Gulf of Mexico,19.1944,-96.1236
Pacific Ocean,,10.3331,-85.8476
Atlantic Ocean,Caribbean Sea,12.77,-79.83
Atlantic Ocean,Caribbean Sea,11.17,-67.28
Atlantic Ocean,Caribbean Sea,11.82,-66.38
Atlantic Ocean,Caribbean Sea,11.94,-68.26
Atlantic Ocean,,0.678683,-47.812442
Atlantic Ocean,Caribbean Sea,17.27,-76.03
Atlantic Ocean,Caribbean Sea,16.73,-81.21
Atlantic Ocean,Caribbean Sea,16.5,-80.97
Atlantic Ocean,Caribbean Sea,11.38,-63.34
Atlantic Ocean,Caribbean Sea,11.22,-62.23
Pacific Ocean,,33.38,-156.38
Pacific Ocean,,40.16,-157.42
Atlantic Ocean,Mediterranean Sea,31.746667,34.593
Atlantic Ocean,Mediterranean Sea,35.742,26.212
Atlantic Ocean,,42.637833,-9.14315
Atlantic Ocean,Inner Seas off the West Coast of Scotland,55.901,-4.909167
Atlantic Ocean,,-40.3233,-9.8962
Pacific Ocean,,16.88,-159.15
Pacific Ocean,,19.95,-156.16
Pacific Ocean,,24.21,-149.32
,,43.017,-79.0209
Atlantic Ocean,,46.29,-57.62
Atlantic Ocean,,42.58,-65.77
Atlantic Ocean,,42.83,-69.38
Atlantic Ocean,,42.86,-69.74
Atlantic Ocean,Celtic Sea,50.3247,-5.1998
Atlantic Ocean,,32.7872,-79.9261
Atlantic Ocean,,42.0955,-70.6482
Atlantic Ocean,,37.23,-64.5
Atlantic Ocean,Mediterranean Sea,38.2729,-0.27666
Atlantic Ocean,Mediterranean Sea,36.42,-4.343333
,,43.2006,-79.0457
,,41.3833,-82.5133
,,32.7255,-97.0127
Atlantic Ocean,,32.1277,-80.7794
Atlantic Ocean,,34.9992,-76.9583
Atlantic Ocean,,32.8315,-79.9396
Atlantic Ocean,,32.8921,-79.9716
Pacific Ocean,,35.016,-141.7381
Pacific Ocean,,34.37,-143.7072
Pacific Ocean,,38.967,-140.983
Pacific Ocean,,37.2045,-133.865
Pacific Ocean,,31.828258,-116.609493
Pacific Ocean,,36.887,-121.8324
Atlantic Ocean,,20.68,-71.58
Atlantic Ocean,,25.93,-73.38
Atlantic Ocean,,29.13,-64.94
Atlantic Ocean,,24.2317,-21.2217
Atlantic Ocean,,30.0497,-16.0541
Pacific Ocean,,32.000648,-142.5855
Atlantic Ocean,Gulf of Mexico,27.5967,-97.2124
Atlantic Ocean,,25.67,-76.07
Atlantic Ocean,,24.8,-75.65
Atlantic Ocean,,28.78,-57.3
Atlantic Ocean,,23.95,-57.68
Atlantic Ocean,,21.72,-64.54
Atlantic Ocean,Gulf of Mexico,29.264,-94.8302
Atlantic Ocean,Gulf of Mexico,29.3032,-94.7706
Atlantic Ocean,Gulf of Mexico,27.8021,-97.0764
Atlantic Ocean,Gulf of Mexico,27.8325,-97.0474
Atlantic Ocean,Gulf of Mexico,27.3467,-97.327
Atlantic Ocean,Gulf of Mexico,27.5609,-97.2312
Atlantic Ocean,Gulf of Mexico,29.9538,-90.0194
Atlantic Ocean,Gulf of Mexico,28.8652,-96.2691
Atlantic Ocean,Gulf of Mexico,29.0876,-95.1209
Atlantic Ocean,Gulf of Mexico,29.3294,-94.7311
Atlantic Ocean,Gulf of Mexico,29.4818,-94.6047
Atlantic Ocean,Gulf of Mexico,29.2888,-94.7882
Atlantic Ocean,,26.25,-78.95
Atlantic Ocean,,25.89,-79.64
Atlantic Ocean,Coastal Waters of Florida,25.7429,-80.0865
Atlantic Ocean,Gulf of Mexico,27.9899,-82.6316
Atlantic Ocean,Gulf of Mexico,30.514,-87.9189
Atlantic Ocean,Gulf of Mexico,29.6428,-89.9386
Atlantic Ocean,,16.02,-58.47
Atlantic Ocean,,13.7395,-44.58
Atlantic Ocean,,16.8667,-49.25
Pacific Ocean,,30.09175,-133.8008
Pacific Ocean,,23.35,-144.31
Pacific Ocean,Gulf of California,24.1633,-110.3172
Atlantic Ocean,Caribbean Sea,13.9,-65.93
Atlantic Ocean,Caribbean Sea,17.34,-73.36
Atlantic Ocean,Caribbean Sea,19.5,-74.05
Atlantic Ocean,Caribbean Sea,17.02,-63.43
Atlantic Ocean,Caribbean Sea,16.34,-62.91
Atlantic Ocean,Caribbean Sea,15.26,-62.65
Atlantic Ocean,,-30.5678,-22.9272
Atlantic Ocean,,-34.96585,13.93202
Pacific Ocean,,5.79,-147.72
Pacific Ocean,,3.48,-143.62
Pacific Ocean,,19.73,-146.63
Pacific Ocean,,19.24,-143.41
Atlantic Ocean,Mediterranean Sea,32.840167,34.951833
Atlantic Ocean,Mediterranean Sea,37.5,26.3
Arctic Ocean,,85.575,11.2663
Pacific Ocean,,-15.27,-148.78
Pacific Ocean,,20.61,-155.0
Pacific Ocean,,20.14,-148.94
Pacific Ocean,,26.61,-153.31
Pacific Ocean,,40.58,-157.79
Atlantic Ocean,Mediterranean Sea,41.753333,3.063333
Pacific Ocean,Coastal Waters of Southeast Alaska and British Columbia,49.4856,-124.3535
Atlantic Ocean,,51.959419,-11.779393
Atlantic Ocean,Mediterranean Sea,42.696733,10.32925
Pacific Ocean,Gulf of Alaska,60.797,-148.093
Atlantic Ocean,North Sea,56.423167,-2.472833
Atlantic Ocean,,31.3751,-41.7579
Atlantic Ocean,Mediterranean Sea,36.609833,-3.896333
Atlantic Ocean,,31.7012,-12.288867
Atlantic Ocean,,36.156167,-23.8035
Atlantic Ocean,Mediterranean Sea,37.991333,15.4615
Atlantic Ocean,Mediterranean Sea,41.3565,9.3491
Pacific Ocean,,32.4396,-133.72655
Atlantic Ocean,,41.75806,-71.3642
Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,42.23,-70.24
Atlantic Ocean,,41.03,-68.58
Atlantic Ocean,,40.66,-69.97
Atlantic Ocean,,41.54,-66.64
Atlantic Ocean,,26.76,-65.67
Atlantic Ocean,,30.97,-66.37
Atlantic Ocean,,28.48,-73.48
Atlantic Ocean,,28.6895,-14.0139
Pacific Ocean,,34.0587,-139.9829
Pacific Ocean,,40.4037,-148.0525
Atlantic Ocean,Gulf of Mexico,27.8349,-97.0472
Atlantic Ocean,Gulf of Mexico,27.584,-97.2192
Atlantic Ocean,Gulf of Mexico,27.601,-97.2102
Atlantic Ocean,Caribbean Sea,20.4494,-86.9901
Atlantic Ocean,,30.03,-59.88
Atlantic Ocean,,24.84,-71.45
Atlantic Ocean,Gulf of Mexico,29.5327,-95.0094
Atlantic Ocean,Gulf of Mexico,29.27,-94.8195
Atlantic Ocean,Gulf of Mexico,29.2654,-94.8268
Atlantic Ocean,Gulf of Mexico,29.1829,-94.9697
Atlantic Ocean,Gulf of Mexico,29.1961,-94.9475
Atlantic Ocean,Gulf of Mexico,28.2688,-96.5494
Pacific Ocean,,28.54,-116.09
Pacific Ocean,Gulf of California,28.859672,-112.030125
Atlantic Ocean,,25.73,-77.08
Atlantic Ocean,Gulf of Mexico,27.897,-82.4382
Atlantic Ocean,Gulf of Mexico,26.4656,-82.0304
Atlantic Ocean,Gulf of Mexico,30.4451,-84.1897
Pacific Ocean,,24.59,-143.47
Pacific Ocean,,28.41,-140.21
Pacific Ocean,,27.84,-140.77
Pacific Ocean,,28.54,-140.09
Pacific Ocean,,29.87705,-137.6065
Pacific Ocean,,30.993983,-139.5495
Atlantic Ocean,Caribbean Sea,19.09,-77.96
Atlantic Ocean,Gulf of Mexico,18.8645,-95.905
Atlantic Ocean,,19.55,-59.93
Atlantic Ocean,,15.1867,-54.7137
Atlantic Ocean,,15.7974,-52.1839
Atlantic Ocean,,17.0117,-42.6883
Pacific Ocean,,-27.013,-107.57014
Atlantic Ocean,,-34.3065,7.1063
Pacific Ocean,,-0.5,-92.0
Pacific Ocean,,18.7996,-110.9158
Atlantic Ocean,Caribbean Sea,16.23,-86.26
Atlantic Ocean,Caribbean Sea,19.3465,-81.1861
Pacific Ocean,,33.02,-152.9
Pacific Ocean,,36.956525,-150.65005
Pacific Ocean,,39.9,-157.2
Atlantic Ocean,Mediterranean Sea,32.584,34.9055
Arctic Ocean,,82.6463,-154.18
Pacific Ocean,,16.13,-162.0
Atlantic Ocean,Mediterranean Sea,43.95,9.873333
Atlantic Ocean,,58.613167,-5.175333
Indian Ocean,,-37.1519,22.5079
Pacific Ocean,,12.25,-150.21
Pacific Ocean,,14.71,-157.43
Pacific Ocean,,19.24,-156.55
Atlantic Ocean,Mediterranean Sea,39.26,19.771
Atlantic Ocean,Mediterranean Sea,36.5349,13.1282
Atlantic Ocean,Mediterranean Sea,41.379079,2.194423
Atlantic Ocean,,43.87,-58.92
Atlantic Ocean,,44.17,-62.98
Atlantic Ocean,,52.923623,-10.238062
Atlantic Ocean,,41.3,-69.03
Atlantic Ocean,,40.93,-70.42
Atlantic Ocean,,39.31,-66.02
Atlantic Ocean,,38.13,-65.45
Atlantic Ocean,,35.2107,-33.9168
Atlantic Ocean,Mediterranean Sea,39.666667,19.366667
Pacific Ocean,Gulf of California,31.680124,-114.495158
Atlantic Ocean,,39.6527,-75.5828
,,41.4252,-82.3656
Atlantic Ocean,,32.8028,-79.9353
Atlantic Ocean,,32.7885,-79.9621
Atlantic Ocean,,42.07,-69.73
Atlantic Ocean,,22.256333,-26.314667
Atlantic Ocean,,20.9308,-27.1952
Pacific Ocean,,33.87,-146.33
Pacific Ocean,,35.9849,-139.9826
Pacific Ocean,,33.77235,-132.7587
Pacific Ocean,,31.697,-129.0366
Atlantic Ocean,Gulf of Mexico,24.24,-83.02
Atlantic Ocean,,25.18,-75.02
Atlantic Ocean,,25.97,-59.72
Atlantic Ocean,,24.3,-59.51
Atlantic Ocean,,22.15,-69.15
Atlantic Ocean,,26.14,-73.19
Atlantic Ocean,Gulf of Mexico,29.227,-94.8952
Atlantic Ocean,Gulf of Mexico,28.0387,-96.8783
Atlantic Ocean,Gulf of Mexico,27.7492,-97.1188
Atlantic Ocean,Gulf of Mexico,27.601,-97.2104
Atlantic Ocean,Gulf of Mexico,26.7036,-97.3234
Atlantic Ocean,Gulf of Mexico,24.6599,-81.4227
Atlantic Ocean,,30.553,-81.4418
Atlantic Ocean,Gulf of Mexico,30.3063,-89.3279
Atlantic Ocean,Gulf of Mexico,30.3056,-89.3282
Atlantic Ocean,Gulf of Mexico,29.5932,-94.9908
Atlantic Ocean,Gulf of Mexico,29.2681,-94.8222
Atlantic Ocean,Gulf of Mexico,29.1824,-94.9708
Pacific Ocean,,30.017632,-135.489
Pacific Ocean,,24.52,-148.47
Pacific Ocean,,25.28,-147.0
Pacific Ocean,,26.05,-141.2
Atlantic Ocean,,28.42,-80.09
Atlantic Ocean,Gulf of Mexico,27.8096,-82.446
Atlantic Ocean,Caribbean Sea,17.78,-68.15
Atlantic Ocean,Caribbean Sea,15.66,-60.77
Atlantic Ocean,,19.7,-59.35
Atlantic Ocean,Caribbean Sea,10.760339,-61.441728
Atlantic Ocean,,18.1069,-36.717
Atlantic Ocean,,18.2258,-45.857
Pacific Ocean,,-26.46396,-105.36589
Pacific Ocean,,-31.3878,-93.3457
Pacific Ocean,,-11.71,-141.93
Pacific Ocean,,3.01,-88.1
Pacific Ocean,,19.8,-143.03
Atlantic Ocean,Caribbean Sea,18.43,-76.23
Pacific Ocean,,33.1,-149.63
Atlantic Ocean,Mediterranean Sea,35.0936,34.3911
Pacific Ocean,,15.94,-162.49
Atlantic Ocean,Inner Seas off the West Coast of Scotland,57.535333,-6.815
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.3339,-6.383
Atlantic Ocean,Irish Sea and St. George's Channel,54.636833,-4.444
Arctic Ocean,Norwegian Sea,66.883333,-9.15
Pacific Ocean,,6.84,-149.44
Pacific Ocean,,14.71,-157.43
Atlantic Ocean,,45.1215,-9.773833
Atlantic Ocean,Mediterranean Sea,43.063,5.8787
Atlantic Ocean,Mediterranean Sea,42.611,8.7088
Atlantic Ocean,Mediterranean Sea,44.218833,14.168
Pacific Ocean,,56.570583,-142.849833
Atlantic Ocean,North Sea,60.291167,-0.618333
Atlantic Ocean,,40.25,-66.03
Atlantic Ocean,,35.13,-60.98
Atlantic Ocean,Mediterranean Sea,41.791667,9.503333
Atlantic Ocean,Mediterranean Sea,41.175724,1.526081
,,43.9508,-78.2662
Atlantic Ocean,,43.3293,-70.5443
Atlantic Ocean,,32.776,-79.9253
Atlantic Ocean,,32.7872,-79.9262
Atlantic Ocean,,32.62,-64.7
Atlantic Ocean,,35.07,-65.48
Atlantic Ocean,,41.1,-68.92
Atlantic Ocean,,40.25,-70.15
Pacific Ocean,,32.84,-147.81
Pacific Ocean,,32.0309,-139.9165
Pacific Ocean,,34.8762,-145.52865
Pacific Ocean,,32.8454,-118.3583
Pacific Ocean,,33.6086,-117.9244
Pacific Ocean,,37.6013,-122.5003
Atlantic Ocean,,24.1,-58.43
Atlantic Ocean,,24.34,-56.42
Atlantic Ocean,,25.25,-68.2
Atlantic Ocean,,25.32,-68.45
Atlantic Ocean,,24.86,-74.17
Atlantic Ocean,,28.152519,-16.43179
Atlantic Ocean,Gulf of Mexico,27.5789,-97.2216
Atlantic Ocean,Gulf of Mexico,27.7533,-97.1154
Atlantic Ocean,Gulf of Mexico,27.6011,-97.21
Atlantic Ocean,,24.63,-75.42
Atlantic Ocean,,27.14,-60.1
Atlantic Ocean,,22.6,-60.0
Atlantic Ocean,Gulf of Mexico,29.2784,-94.8051
Atlantic Ocean,Gulf of Mexico,29.276,-94.8087
Atlantic Ocean,Gulf of Mexico,29.2763,-94.809
Atlantic Ocean,Gulf of Mexico,29.3207,-94.744
Atlantic Ocean,Gulf of Mexico,28.0283,-96.889
Atlantic Ocean,Gulf of Mexico,27.9437,-97.3304
Atlantic Ocean,Gulf of Mexico,28.9291,-95.3094
Atlantic Ocean,Gulf of Mexico,29.6755,-94.9831
Atlantic Ocean,Gulf of Mexico,29.3363,-94.7561
Atlantic Ocean,Gulf of Mexico,29.3809,-94.7233
Atlantic Ocean,Gulf of Mexico,29.3657,-94.8122
Atlantic Ocean,Gulf of Mexico,29.3661,-94.813
Atlantic Ocean,,26.12,-78.53
Atlantic Ocean,Gulf of Mexico,27.8493,-82.4314
Atlantic Ocean,Gulf of Mexico,27.7084,-82.6092
Atlantic Ocean,Gulf of Mexico,27.7084,-82.6092
Atlantic Ocean,Gulf of Mexico,28.6392,-95.8713
Atlantic Ocean,Gulf of Mexico,29.0087,-95.4048
Atlantic Ocean,,19.04,-59.72
Atlantic Ocean,,14.0,-59.0
Atlantic Ocean,,18.7792,-47.456
Pacific Ocean,,22.11,-141.71
Pacific Ocean,,25.94,-146.58
Atlantic Ocean,,26.16,-77.85
Atlantic Ocean,Caribbean Sea,17.11,-77.03
Atlantic Ocean,Caribbean Sea,16.24,-81.2
Atlantic Ocean,Caribbean Sea,16.72,-83.78
Atlantic Ocean,Caribbean Sea,17.66,-86.0
Atlantic Ocean,Caribbean Sea,14.47,-62.6
Atlantic Ocean,,17.35,-60.2
Pacific Ocean,,-26.3318,-115.7358
Pacific Ocean,,-33.1342,-81.2382
Pacific Ocean,,5.79,-147.72
Pacific Ocean,,3.85,-143.98
Pacific Ocean,,1.09,-142.01
Pacific Ocean,,19.8,-143.03
Pacific Ocean,,36.3728,-153.6528
Pacific Ocean,,15.94,-162.49
Atlantic Ocean,North Sea,55.9465,-2.1475
Atlantic Ocean,Kattegat,56.376517,10.94445
Pacific Ocean,,6.84,-149.44
Pacific Ocean,,19.13,-154.67
Pacific Ocean,,22.0,-149.9
Pacific Ocean,,33.1,-149.63
Atlantic Ocean,Mediterranean Sea,42.9385,6.343833
Atlantic Ocean,Mediterranean Sea,43.168167,10.2515
Atlantic Ocean,English Channel,50.402217,1.145633
Atlantic Ocean,North Sea,56.288167,-2.501667
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.125,-4.826833
Atlantic Ocean,Inner Seas off the West Coast of Scotland,55.729,-4.9895
Pacific Ocean,,45.763833,-129.340667
Pacific Ocean,,43.348,-124.3218
Pacific Ocean,,48.734,-142.846583
,,43.261,-79.0591
Atlantic Ocean,,42.62,-61.75
Atlantic Ocean,Gulf of St. Lawrence,47.1,-56.07
Atlantic Ocean,,33.43,-58.62
Atlantic Ocean,,31.47,-55.68
Atlantic Ocean,,38.43987,-9.09325
Atlantic Ocean,Mediterranean Sea,38.864,12.6117
Atlantic Ocean,Mediterranean Sea,41.403637,2.2193
Atlantic Ocean,Mediterranean Sea,41.314,2.2465
Atlantic Ocean,,36.17,-65.3
Atlantic Ocean,New York Bight,39.0,-73.45
Atlantic Ocean,,41.99,-69.46
Atlantic Ocean,,40.85,-70.62
Atlantic Ocean,,37.1,-66.96
Atlantic Ocean,,41.1499,-55.6686
Pacific Ocean,,32.2584,-127.3653
Pacific Ocean,,37.862,-122.3155
Atlantic Ocean,,32.753,-79.9155
Atlantic Ocean,,33.87,-64.62
Atlantic Ocean,,34.85,-66.94
Atlantic Ocean,,34.03,-62.88
Atlantic Ocean,,28.46,-59.87
Atlantic Ocean,,30.5477,-63.7064
Atlantic Ocean,,21.0698,-37.076
Atlantic Ocean,,28.152519,-16.43179
Atlantic Ocean,,28.152519,-16.43179
Pacific Ocean,,31.72,-144.77
Atlantic Ocean,Gulf of Mexico,27.4159,-97.3013
Atlantic Ocean,Gulf of Mexico,27.5341,-97.245
Atlantic Ocean,Gulf of Mexico,27.5562,-97.2336
Atlantic Ocean,Gulf of Mexico,27.6051,-97.208
Atlantic Ocean,,24.27,-82.29
Atlantic Ocean,,24.59,-79.38
Atlantic Ocean,Gulf of Mexico,29.3895,-94.8858
Atlantic Ocean,Gulf of Mexico,29.2851,-94.7945
Atlantic Ocean,Gulf of Mexico,29.3065,-94.7649
Atlantic Ocean,Gulf of Mexico,29.3055,-94.7669
Atlantic Ocean,Gulf of Mexico,27.8739,-97.3093
Atlantic Ocean,Gulf of Mexico,27.3334,-97.6918
Atlantic Ocean,Gulf of Mexico,27.855567,-82.392267
Atlantic Ocean,Gulf of Mexico,27.6934,-82.5559
Atlantic Ocean,Gulf of Mexico,27.3152,-82.5835
Atlantic Ocean,Gulf of Mexico,29.6827,-85.2676
Atlantic Ocean,Gulf of Mexico,28.6189,-96.6221
Atlantic Ocean,Gulf of Mexico,28.6115,-95.9411
Atlantic Ocean,,16.57,-60.48
Atlantic Ocean,Caribbean Sea,11.83,-60.83
Pacific Ocean,,25.94,-146.58
Pacific Ocean,,27.33,-142.18
Atlantic Ocean,,29.95,-80.23
Atlantic Ocean,,26.6,-79.39
Pacific Ocean,,19.24,-143.41
Atlantic Ocean,Caribbean Sea,18.15,-74.89
Atlantic Ocean,Caribbean Sea,16.37,-76.65
Atlantic Ocean,Caribbean Sea,16.37,-85.58
Atlantic Ocean,Gulf of Mexico,19.1943,-96.1235
Pacific Ocean,,14.41,-96.5
Pacific Ocean,,-28.7311,-103.5486
Atlantic Ocean,,-28.3865,-16.3898
Pacific Ocean,,-14.91,-146.58
Atlantic Ocean,,-23.0308,-30.8532
Pacific Ocean,,19.62,-146.5
Atlantic Ocean,Caribbean Sea,18.24,-76.4
Pacific Ocean,,28.42,-150.3
Pacific Ocean,,26.25525,-151.30095
Pacific Ocean,,33.38,-156.38
Pacific Ocean,,40.38,-157.49
Atlantic Ocean,Mediterranean Sea,32.059167,34.748333
Atlantic Ocean,Mediterranean Sea,37.9,24.7
Pacific Ocean,,10.28,-160.52
Pacific Ocean,,9.55,-155.93
Pacific Ocean,,19.95,-156.16
Pacific Ocean,,20.35,-154.67
Pacific Ocean,,23.567,-160.4192
Pacific Ocean,,23.65,-149.74
Atlantic Ocean,,51.225064,-11.712683
Atlantic Ocean,North Sea,56.313667,-2.5485
Atlantic Ocean,,57.298,-10.39
Atlantic Ocean,North Sea,56.112167,-2.881667
Atlantic Ocean,North Sea,56.1505,-2.3865
Atlantic Ocean,Baltic Sea,54.86375,12.305633
Atlantic Ocean,Mediterranean Sea,42.106833,15.615167
Atlantic Ocean,Mediterranean Sea,38.5046,16.8681
Atlantic Ocean,Mediterranean Sea,38.013,12.087667
Atlantic Ocean,Mediterranean Sea,38.5445,9.82533
Atlantic Ocean,Mediterranean Sea,41.397303,2.21315
Pacific Ocean,,43.3479,-124.322
Atlantic Ocean,,41.75806,-71.3642
Atlantic Ocean,,41.24,-68.35
Atlantic Ocean,,40.85,-68.65
Atlantic Ocean,,39.54,-64.31
Atlantic Ocean,,32.844825,-37.951367
Atlantic Ocean,,38.44652,-9.04146
Atlantic Ocean,,39.9247,-75.1272
Atlantic Ocean,,39.0558,-76.2883
Atlantic Ocean,,32.8028,-79.9353
Atlantic Ocean,,32.83,-64.85
Atlantic Ocean,,34.05,-65.32
Atlantic Ocean,,34.1,-64.92
Atlantic Ocean,,27.45,-58.13
Atlantic Ocean,,25.42,-60.75
Atlantic Ocean,,20.17,-67.97
Atlantic Ocean,,27.9146,-64.0454
Atlantic Ocean,,24.7292,-19.2968
Pacific Ocean,,33.1052,-134.4999
Atlantic Ocean,Gulf of Mexico,27.5819,-97.2197
Atlantic Ocean,Gulf of Mexico,27.6708,-97.1711
Atlantic Ocean,Gulf of Mexico,26.2327,-97.182
Atlantic Ocean,,24.24,-81.83
Atlantic Ocean,,25.27,-75.13
Atlantic Ocean,,24.85,-75.45
Atlantic Ocean,Gulf of Mexico,29.2817,-94.8
Atlantic Ocean,Gulf of Mexico,29.2633,-94.8319
Atlantic Ocean,Gulf of Mexico,29.2668,-94.825
Atlantic Ocean,Gulf of Mexico,29.2347,-94.8825
Atlantic Ocean,Gulf of Mexico,28.0605,-96.8564
Atlantic Ocean,Gulf of Mexico,27.5337,-97.2452
Atlantic Ocean,Gulf of Mexico,30.2006,-88.448
Atlantic Ocean,Gulf of Mexico,29.9221,-90.1931
Atlantic Ocean,Gulf of Mexico,28.7548,-95.6578
Atlantic Ocean,Gulf of Mexico,28.9578,-95.2763
Atlantic Ocean,Gulf of Mexico,29.4219,-94.6846
Atlantic Ocean,Gulf of Mexico,29.2812,-94.8006
Pacific Ocean,,23.35,-144.31
Pacific Ocean,,28.72,-140.03
Pacific Ocean,,20.763,-105.521
Pacific Ocean,Gulf of California,27.916643,-110.775325
Atlantic Ocean,,25.75,-79.36
Atlantic Ocean,,26.75,-79.78
Atlantic Ocean,Caribbean Sea,18.5,-74.83
Atlantic Ocean,Caribbean Sea,13.62,-62.89
Atlantic Ocean,Caribbean Sea,14.77,-71.25
Atlantic Ocean,Caribbean Sea,16.68,-62.0
Atlantic Ocean,Caribbean Sea,14.18,-60.75
Atlantic Ocean,,19.225,-31.6067
Pacific Ocean,,-24.5847,-125.7344
Atlantic Ocean,,-27.8835,-25.8982
Pacific Ocean,,-4.83,-109.12
Pacific Ocean,,5.04,-144.77
Pacific Ocean,,19.62,-146.5
Atlantic Ocean,Caribbean Sea,17.21,-77.51
Pacific Ocean,,33.7601,-160.4152
Pacific Ocean,,33.47,-151.63
Pacific Ocean,,40.38,-157.49
Atlantic Ocean,Mediterranean Sea,31.7495,34.5525
Pacific Ocean,Papahanaumokuakea Marine National Monument,26.8,-166.54
Atlantic Ocean,,57.298,-10.374833
Atlantic Ocean,Inner Seas off the West Coast of Scotland,56.01595,-4.894333
Pacific Ocean,,9.55,-155.93
Pacific Ocean,,12.95,-156.94
Pacific Ocean,,20.35,-154.67
Pacific Ocean,,23.65,-149.74
Atlantic Ocean,,51.413448,-13.195729
Atlantic Ocean,Bay of Biscay,47.481167,-3.081333
Atlantic Ocean,North Sea,51.807883,3.639867
Pacific Ocean,Gulf of Alaska,60.3735,-146.2318
Atlantic Ocean,,58.323833,-6.9505
Atlantic Ocean,Inner Seas off the West Coast of Scotland,57.793333,-6.724833
Atlantic Ocean,,38.46124,-8.99428
Atlantic Ocean,Mediterranean Sea,39.668,20.019
Atlantic Ocean,Mediterranean Sea,41.038,17.866833
Pacific Ocean,,43.1375,-124.4196
Pacific Ocean,,43.1625,-129.18
Atlantic Ocean,,43.04,-60.92
Pacific Ocean,,40.30275,-130.0122
Pacific Ocean,Gulf of California,31.680124,-114.495158
Atlantic Ocean,,32.7763,-79.9253
Atlantic Ocean,,34.68,-66.58
Atlantic Ocean,,39.88,-69.7
Atlantic Ocean,,41.03,-65.72
Atlantic Ocean,,25.27,-77.37
Atlantic Ocean,,26.37,-72.35
Atlantic Ocean,,26.85,-71.67
Atlantic Ocean,,22.39117,-20.66398
Atlantic Ocean,,27.1,-22.46
Pacific Ocean,,32.72,-144.28
Atlantic Ocean,Gulf of Mexico,27.6809,-97.1642
